Subject_Name,Student_Name,Passed
Art,Alice Azure,false
Art,Alice Black,false
Art,Alice Blue,false
Art,Alice Brown,false
Art,Alice Cyan,true
Art,Alice Davis,false
Art,Alice Gray,true
Art,Alice Green,false
Art,Alice Indigo,false
Art,Alice Johnson,false
Art,Alice Magenta,false
Art,Alice Orange,true
Art,Alice Pink,false
Art,Alice Purple,false
Art,Alice Red,false
Art,Alice Teal,false
Art,Alice Violet,false
Art,Alice White,false
Art,Alice Yellow,false
Art,Bob Azure,false
Art,Bob Beige,false
Art,Bob Black,false
Art,Bob Blue,false
Art,Bob Brown,false
Art,Bob Cyan,false
Art,Bob Davis,false
Art,Bob Gray,false
Art,Bob Green,false
Art,Bob Indigo,false
Art,Bob Johnson,false
Art,Bob Magenta,true
Art,Bob Orange,false
Art,Bob Pink,true
Art,Bob Purple,false
Art,Bob Red,false
Art,Bob Teal,false
Art,Bob Violet,false
Art,Bob White,false
Art,Bob Yellow,false
Art,Charlie Azure,false
Art,Charlie Beige,false
Art,Charlie Black,false
Art,Charlie Blue,false
Art,Charlie Brown,false
Art,Charlie Cyan,false
Art,Charlie Davis,false
Art,Charlie Gray,false
Art,Charlie Green,false
Art,Charlie Indigo,false
Art,Charlie Johnson,false
Art,Charlie Magenta,false
Art,Charlie Orange,false
Art,Charlie Pink,false
Art,Charlie Purple,false
Art,Charlie Red,false
Art,Charlie Teal,false
Art,Charlie Violet,false
Art,Charlie White,false
Art,Charlie Yellow,false
Art,Dana Azure,false
Art,Dana Beige,false
Art,Dana Black,false
Art,Dana Blue,false
Art,Dana Brown,false
Art,Dana Cyan,false
Art,Dana Davis,false
Art,Dana Gray,true
Art,Dana Green,false
Art,Dana Indigo,false
Art,Dana Johnson,false
Art,Dana Magenta,false
Art,Dana Orange,false
Art,Dana Pink,false
Art,Dana Purple,false
Art,Dana Red,false
Art,Dana Teal,false
Art,Dana Violet,false
Art,Dana White,false
Art,Dana Yellow,false
Art,Eve Azure,false
Art,Eve Beige,false
Art,Eve Black,false
Art,Eve Blue,false
Art,Eve Brown,false
Art,Eve Cyan,false
Art,Eve Davis,false
Art,Eve Gray,false
Art,Eve Green,false
Art,Eve Indigo,false
Art,Eve Johnson,false
Art,Eve Magenta,false
Art,Eve Orange,false
Art,Eve Pink,false
Art,Eve Purple,false
